percent_vacine,mean(inhabitant count (each.is_infected = true)),mean(inhabitant count (each.is_infected = false)),mean(inhabitant count (each.is_vaccined = true))
10,10702.0,2880.0,1358.0
10,11392.0,3152.0,1454.0
10,10508.0,2490.0,1299.0
10,11267.0,3145.0,1441.0
10,11245.0,2709.0,1395.0
50,10205.0,3377.0,6791.0
50,10769.0,3775.0,7272.0
50,9921.0,3077.0,6499.0
50,10668.0,3744.0,7206.0
50,10728.0,3226.0,6977.0
90,9625.0,3957.0,12223.0
90,10066.0,4478.0,13089.0
90,9372.0,3626.0,11698.0
90,9989.0,4423.0,12970.0
90,10160.0,3794.0,12558.0
